Latitude,Longitude,Crime_Type
39.12430038697436,-114.4072918638796,Burglary
36.12250781010685,-91.21662082774104,Fraud
44.502529299638766,-72.6980233485873,Fraud
47.45048181322201,-119.6520444137808,Robbery
41.43769027573085,-69.29071977811077,Theft
34.90917647570384,-109.48939319903153,Assault
26.10932289818682,-102.96988604056264,Burglary
31.1043630023682,-121.69908298644036,Burglary
38.36620488702195,-112.79088447978104,Homicide
39.99347441507181,-93.77317744454804,Fraud
42.28640804916595,-77.91918734025965,Robbery
26.987749109809524,-105.16799534560428,Vandalism
29.614972454613127,-111.8062203672859,Drug Offense
30.61784436681651,-107.98575370563069,Robbery
32.20309663004796,-124.85680879013148,Robbery
46.6982763423277,-120.8640840952946,Fraud
28.71301759448628,-101.52508996103222,Theft
25.940044980069523,-105.10918247263496,Robbery
26.137510275595133,-93.27815122995652,Drug Offense
30.26741294331555,-123.2375194865368,Robbery
35.462019107591,-102.12040572559712,Assault
46.26715140968594,-99.84312246957604,Robbery
26.278353609182343,-102.6711976360244,Drug Offense
28.567466524854417,-70.84378433198845,Drug Offense
40.13210036192197,-81.73856026891718,Vandalism
37.94339362206024,-109.20977813529622,Drug Offense
41.95847223751547,-116.16709275486323,Assault
25.441300285424187,-72.96029255845932,Robbery
30.68649293983695,-122.64469936527384,Homicide
31.328316628593694,-70.45224976014742,Drug Offense
27.858728649540225,-102.06426227541252,Assault
35.09860761125924,-98.02394605380748,Theft
37.42316312974859,-106.77203374422916,Assault
25.83305804133034,-101.50371589180897,Assault
43.00180794578063,-69.74168737176625,Homicide
25.647189632794635,-87.82028731098274,Burglary
35.18599217014598,-71.72776371865115,Drug Offense
28.547673244785727,-103.93144582145914,Burglary
38.14758103019198,-84.20174156216363,Burglary
45.50707056791604,-117.99173251536,Vandalism
37.25703043590377,-112.1335016228252,Theft
44.35756147751586,-69.8216944605837,Burglary
25.4282872649379,-113.12029031385518,Burglary
36.74100518924321,-107.54715424002782,Drug Offense
41.49337417121561,-112.27404832026976,Robbery
41.93538594817719,-107.03201301648508,Fraud
38.94658112817608,-113.46816950478858,Drug Offense
47.91586060176376,-118.65609399767676,Homicide
45.43885706650022,-92.35534482527004,Burglary
41.99230887398047,-87.02422609803051,Assault
43.00125086148203,-97.00080823358236,Vandalism
40.83324965548212,-107.91003844735376,Burglary
28.518569742594124,-120.38659496369894,Homicide
38.86388355232888,-74.78451115184384,Homicide
47.69612417034507,-107.82485505100396,Assault
48.173682528550536,-89.99188741231613,Burglary
29.69915163809925,-93.94290077692644,Robbery
32.46304290568536,-81.41216652275817,Robbery
29.392614587919844,-109.76336910162294,Burglary
25.48376306590067,-70.3167627132471,Robbery
25.905990999274152,-120.66595146280042,Homicide
45.68730019679301,-82.5660892616646,Theft
33.93010078071087,-69.52285743686366,Robbery
44.720033180148974,-85.65002217996489,Robbery
29.134395773691697,-116.96463198131111,Vandalism
32.3960098700908,-121.73091188146724,Fraud
38.58441372728544,-107.25955370611894,Assault
32.89865471926248,-99.75015154338772,Burglary
39.16867845849785,-119.12455271375842,Assault
36.600658913154064,-67.9459485711541,Fraud
28.678001855086386,-106.23571152900396,Homicide
41.63487168914039,-98.60438685200477,Theft
25.625008302672367,-114.7432919514117,Drug Offense
27.40849709530484,-117.70743085072372,Assault
28.209523003489647,-109.91868218830987,Theft
48.59463418306751,-116.03005653372112,Homicide
43.96700786245344,-73.05785658623687,Robbery
26.26825289456732,-90.78439721512817,Fraud
45.03333520857315,-95.26084843200906,Fraud
38.418155282719965,-120.77830490603031,Burglary
34.06261826162274,-102.71230470429056,Fraud
34.82868998860567,-122.714627920122,Homicide
25.282033031196068,-98.98745258250511,Burglary
37.19233806877847,-100.9040540642839,Fraud
36.41039513820205,-104.04640841903382,Assault
32.34922145453878,-109.18442624936648,Vandalism
47.52429705414518,-72.99150200745638,Fraud
39.47509154783453,-95.37916848737304,Burglary
42.59684988273668,-92.60277669610298,Fraud
26.84977206900901,-111.22535705127048,Vandalism
44.252525618182034,-92.75529489559958,Drug Offense
48.083327766604455,-70.0513172131827,Burglary
48.59489399564505,-72.5411882696269,Homicide
46.47434421460892,-96.32574946210552,Burglary
42.76646975227849,-92.19079561116868,Burglary
46.15649671925337,-87.62232201044544,Vandalism
42.5260643241769,-118.98067888531556,Theft
28.67363940461565,-107.00282282157696,Fraud
39.7201656938496,-102.29453013475926,Assault
46.90023705880729,-112.71563635282442,Fraud
45.82080475810344,-93.8422531934024,Assault
33.011735998673934,-79.40388703727092,Assault
